"Kod";"Name";"global_id";"Latin_name";"Type";"Kod_okato";
"0800";"Западный административный округ";"58703665";"Zapadny'j administrativny'j okrug";"02";"45268000";
"0805";"район Дорогомилово";"58703666";"rajon Dorogomilovo";"03";"45268554";
"0806";"район Крылатское";"58703667";"rajon Kry'latskoe";"03";"45268560";
"0807";"район Кунцево";"58703668";"rajon Kunczevo";"03";"45268562";
"0809";"Можайский район";"58703669";"Mozhajskij rajon";"03";"45268569";
"0811";"район Ново-Переделкино";"58703670";"rajon Novo-Peredelkino";"03";"45268577";
"0813";"район Внуково";"58703671";"rajon Vnukovo";"03";"45268552";
"0814";"район Проспект Вернадского";"58703672";"rajon Prospekt Vernadskogo";"03";"45268581";
"0815";"район Раменки";"58703673";"rajon Ramenki";"03";"45268584";
"0816";"район Солнцево";"58703674";"rajon Solnczevo";"03";"45268588";
"0817";"район Тропарёво-Никулино";"58703675";"rajon Troparyovo-Nikulino";"03";"45268592";
"0818";"район Филёвский Парк";"58703676";"rajon Filyovskij Park";"03";"45268595";
"0819";"район Фили-Давыдково";"58703677";"rajon Fili-Davy'dkovo";"03";"45268597";
"0820";"район Очаково-Матвеевское";"58703678";"rajon Ochakovo-Matveevskoe";"03";"45268579";
"0900";"Северо-Западный административный округ";"58703679";"Severo-Zapadny'j administrativny'j okrug";"02";"45283000";
"0901";"район Куркино";"58703680";"rajon Kurkino";"03";"45283555";
"0902";"район Митино";"58703681";"rajon Mitino";"03";"45283559";
"0903";"район Покровское-Стрешнево";"58703682";"rajon Pokrovskoe-Streshnevo";"03";"45283569";
"0904";"район Северное Тушино";"58703683";"rajon Severnoe Tushino";"03";"45283573";
"0905";"район Строгино";"58703684";"rajon Strogino";"03";"45283577";
"0906";"район Хорошёво-Мнёвники";"58703685";"rajon Xoroshyovo-Mnyovniki";"03";"45283582";
"0907";"район Щукино";"58703686";"rajon Shhukino";"03";"45283587";
"0908";"район Южное Тушино";"58703687";"rajon Yuzhnoe Tushino";"03";"45283593";
"1000";"Зеленоградский административный округ";"58703688";"Zelenogradskij administrativny'j okrug";"02";"45272000";
"1005";"район Крюково";"58703689";"rajon Kryukovo";"03";"45272580";
"1009";"район Матушкино";"58703690";"rajon Matushkino";"03";"45272562";
"1010";"район Савёлки";"58703691";"rajon Savyolki";"03";"45272568";
"1011";"район Силино";"58703692";"rajon Silino";"03";"45272572";
"1012";"район Старое Крюково";"58703693";"rajon Staroe Kryukovo";"03";"45272576";
"1100";"Новомосковский административный округ";"58703694";"Novomoskovskij administrativny'j okrug";"02";"45297000";
"1101";"поселение Внуковское";"58703695";"poselenie Vnukovskoe";"04";"45297552";
"1102";"поселение Воскресенское";"58703696";"poselenie Voskresenskoe";"04";"45297554";
"1103";"поселение Десеновское";"58703697";"poselenie Desenovskoe";"04";"45297556";
"1104";"поселение Кокошкино";"58703698";"poselenie Kokoshkino";"04";"45297559";
"1105";"поселение Марушкинское";"58703699";"poselenie Marushkinskoe";"04";"45297562";
"1106";"поселение Московский";"58703700";"poselenie Moskovskij";"04";"45297565";
"1107";"поселение ""Мосрентген""";"58703701";"poselenie ""Mosrentgen""";"04";"45297568";
"1108";"поселение Рязановское";"58703702";"poselenie Ryazanovskoe";"04";"45297571";
"1109";"поселение Сосенское";"58703703";"poselenie Sosenskoe";"04";"45297574";
"1110";"поселение Филимонковское";"58703704";"poselenie Filimonkovskoe";"04";"45297577";
"1111";"поселение Щербинка";"58703705";"poselenie Shherbinka";"04";"45297581";
"1200";"Троицкий административный округ";"58703706";"Troiczkij administrativny'j okrug";"02";"45298000";
"1201";"поселение Вороновское";"58703707";"poselenie Voronovskoe";"04";"45298553";
"1202";"поселение Киевский";"58703708";"poselenie Kievskij";"04";"45298555";
"1203";"поселение Кленовское";"58703709";"poselenie Klenovskoe";"04";"45298558";
"1204";"поселение Краснопахорское";"58703710";"poselenie Krasnopaxorskoe";"04";"45298561";
"1205";"поселение Михайлово-Ярцевское";"58703711";"poselenie Mixajlovo-Yarczevskoe";"04";"45298564";
"1206";"поселение Новофедоровское";"58703712";"poselenie Novofedorovskoe";"04";"45298567";
"1207";"поселение Первомайское";"58703713";"poselenie Pervomajskoe";"04";"45298572";
"1208";"поселение Роговское";"58703714";"poselenie Rogovskoe";"04";"45298575";
"1209";"поселение Троицк";"58703715";"poselenie Troiczk";"04";"45298578";
"1210";"поселение Щаповское";"58703716";"poselenie Shhapovskoe";"04";"45298583";
